pseudocode,sdmp_plan_yn,struct_safaud_yn,nonstr_safaud_yn,cctv_cam_yn,fire_ext_yn,nodal_tch_yn,safty_trng_yn,dismgmt_taug_yn,slfdef_grt_yn,slfdef_trained,guide_display_yn,tch_first_level_counsellor,safe_sec_audit,teacher_displaying_photo,vidya_pravesh,stu_atndnc_yn,tch_atndnc_yn,sch_youth_club_yn,sch_eco_club_yn,tch_icard_yn,self_cert_obtained_yn
9873238,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
7994409,1,1,1,2,1,1,1,1,9,0,1,1,6,1,1,2,2,1,1,1,2
3766396,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
3693905,1,1,1,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
3777185,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,2,1,1,1
7446525,1,1,1,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
1123322,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
6764906,1,2,2,2,1,1,1,1,2,0,2,1,6,1,1,2,2,1,1,2,1
3830086,1,1,2,2,1,1,2,1,9,0,1,1,2,1,1,2,2,1,1,1,1
2605737,1,1,2,2,1,1,1,1,9,0,1,1,4,1,1,2,2,1,1,1,1
5984060,1,1,1,2,1,1,1,1,2,0,2,2,6,2,2,2,2,2,2,2,2
3741264,1,2,2,1,1,1,1,1,1,15,1,1,5,1,1,2,3,1,1,1,1
6560324,1,1,1,2,1,1,1,1,1,15,1,1,2,1,1,2,2,1,1,1,1
9081602,1,1,1,2,1,1,1,1,1,19,1,1,2,1,2,2,2,1,1,1,1
6129327,1,1,1,1,1,1,1,1,9,0,1,1,6,1,2,1,3,1,1,1,2
7315523,1,1,1,2,1,1,1,1,1,14,1,1,1,1,1,2,2,1,1,1,1
6079038,1,1,1,2,1,1,1,1,1,30,1,1,1,1,1,2,2,1,1,1,1
7665792,1,1,1,2,1,1,1,1,2,0,1,1,2,1,1,2,2,1,1,1,1
5256087,1,1,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
5657371,1,1,1,2,1,1,1,1,9,0,1,2,1,1,2,2,2,2,1,1,1
5176135,1,1,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
4609997,1,1,2,2,1,1,1,1,9,0,1,2,2,2,1,2,2,2,1,1,1
6505914,1,1,2,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7760997,1,1,2,2,1,1,1,1,9,0,1,1,3,1,1,2,2,1,1,1,1
5388146,1,1,2,2,1,1,1,1,9,0,1,2,1,1,1,2,2,1,1,1,1
7002696,1,2,2,1,1,1,1,1,9,0,2,2,1,1,1,2,2,1,1,1,1
3268756,1,1,1,1,1,1,1,1,2,0,1,2,2,1,2,1,1,2,1,2,2
7189135,1,1,1,1,1,1,1,1,9,0,1,1,6,1,1,1,1,2,1,1,1
2978417,1,1,2,1,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
2834626,1,2,2,2,1,1,1,1,9,0,1,1,1,1,1,2,2,1,1,1,1
6052160,1,2,1,2,1,1,1,1,9,0,1,1,2,1,1,2,2,1,1,1,1
7586831,1,1,2,2,1,1,1,1,9,0,1,1,1,1,1,2,2,2,1,1,1
2443292,1,1,2,2,1,1,1,1,9,0,1,1,5,1,1,2,2,1,1,1,1
