_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly River Water Discharge (m3/sec),discharge_change_m3s,time_difference_hours,discharge_rate_m3s_per_hour,level_score,rate_score,risk_score,risk_category,anomaly_score,anomaly_label,predicted_discharge_1h,anomaly_severity,forecast_severity,hybrid_hazard_score,hybrid_risk_category,forecast_available
40054,40054,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:15:00,6.7,0.2300000000000004,0.25,0.9200000000000016,40,10,28.0,LOW,-0.2989251465632526,NORMAL,,0.0,0,14.0,LOW,False
40055,40055,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:30:00,6.75,0.0499999999999998,0.25,0.1999999999999993,40,10,28.0,LOW,-0.2955554812300972,NORMAL,,0.0,0,14.0,LOW,False
40056,40056,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 10:45:00,6.64,-0.1100000000000003,0.25,-0.4400000000000013,40,10,28.0,LOW,-0.3011116387195672,NORMAL,,0.0,0,14.0,LOW,False
40057,40057,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:00:00,6.55,-0.0899999999999998,0.25,-0.3599999999999994,40,10,28.0,LOW,-0.3001717029185722,NORMAL,,0.0,0,14.0,LOW,False
40058,40058,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:15:00,6.44,-0.1099999999999994,0.25,-0.4399999999999977,40,10,28.0,LOW,-0.303449493584069,NORMAL,,0.0,0,14.0,LOW,False
40059,40059,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:30:00,6.79,0.3499999999999996,0.25,1.3999999999999986,40,40,40.0,MODERATE,-0.2880155367430964,NORMAL,,0.0,0,20.0,LOW,False
40060,40060,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 11:45:00,6.63,-0.1600000000000001,0.25,-0.6400000000000006,40,10,28.0,LOW,-0.3041559828209086,NORMAL,,0.0,0,14.0,LOW,False
40061,40061,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:00:00,6.72,0.0899999999999998,0.25,0.3599999999999994,40,10,28.0,LOW,-0.301179084804937,NORMAL,,0.0,0,14.0,LOW,False
40062,40062,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:15:00,6.91,0.1900000000000004,0.25,0.7600000000000016,40,10,28.0,LOW,-0.2988495520777811,NORMAL,,0.0,0,14.0,LOW,False
40063,40063,Lambagarh,CWC,5,Uttarakhand,47,Chamoli,-,-,-,-,-,-,-,-,-,30.66472222,79.5175,2026-01-01 12:30:00,6.86,-0.0499999999999998,0.25,-0.1999999999999993,40,10,28.0,LOW,-0.293405392806595,NORMAL,,0.0,0,14.0,LOW,False
