settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN,latitude,longitude,coordinate_source,coordinate_confidence,matched_address,geocoding_query
SETTLEMENT_40857,Sukhi,5,57,284,40857,0,VILLAGE,Rural,43,43,174,88,86,174,205,31,17.81609195402299,2011,Census of India - Population Census 2011,SUKHI,29.0909403,79.6452725,OpenStreetMap Nominatim,MEDIUM,"Sukhi Nadi, Lakhanpur, Lalkuan, Nainital, Uttarakhand, India","Sukhi, Uttarakhand, India"
SETTLEMENT_40858,Kuraipani,5,57,284,40858,0,VILLAGE,Rural,8,8,28,17,11,28,33,5,17.857142857142858,2011,Census of India - Population Census 2011,KURAIPANI,30.5147004,79.7203934,OpenStreetMap Nominatim,MEDIUM,"Kuraipani, Balgaon, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kuraipani, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40859,Aira,5,57,284,40859,0,VILLAGE,Rural,5,5,21,11,10,21,25,4,19.047619047619047,2011,Census of India - Population Census 2011,AIRA,30.5416843,79.6190808,OpenStreetMap Nominatim,MEDIUM,"Aira, Joshimath Tehsil, Chamoli, Uttarakhand, 246443, India","Aira, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40860,Inara,5,57,284,40860,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,INARA,,,MISSING,MISSING,,
SETTLEMENT_40861,Khancha talla,5,57,284,40861,0,VILLAGE,Rural,2,2,13,6,7,13,15,2,15.384615384615383,2011,Census of India - Population Census 2011,KHANCHA TALLA,,,MISSING,MISSING,,
SETTLEMENT_40862,Khancha malla,5,57,284,40862,0,VILLAGE,Rural,3,3,12,6,6,12,14,2,16.666666666666664,2011,Census of India - Population Census 2011,KHANCHA MALLA,,,MISSING,MISSING,,
SETTLEMENT_40863,Merag,5,57,284,40863,0,VILLAGE,Rural,100,100,451,231,220,451,531,80,17.738359201773836,2011,Census of India - Population Census 2011,MERAG,,,MISSING,MISSING,,
SETTLEMENT_40864,Bara gaon,5,57,284,40864,0,VILLAGE,Rural,195,195,792,394,398,792,933,141,17.803030303030305,2011,Census of India - Population Census 2011,BARA GAON,,,MISSING,MISSING,,
SETTLEMENT_40865,Payya chormi,5,57,284,40865,0,VILLAGE,Rural,30,30,134,67,67,134,158,24,17.91044776119403,2011,Census of India - Population Census 2011,PAYYA CHORMI,,,MISSING,MISSING,,
SETTLEMENT_40866,Dhak,5,57,284,40866,0,VILLAGE,Rural,99,99,422,215,207,422,497,75,17.77251184834123,2011,Census of India - Population Census 2011,DHAK,30.498861,79.6113429,OpenStreetMap Nominatim,MEDIUM,"Dhak, Joshimath Tehsil, Chamoli, Uttarakhand, India","Dhak, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40867,Kundikhola,5,57,284,40867,0,VILLAGE,Rural,42,42,180,88,92,180,212,32,17.77777777777778,2011,Census of India - Population Census 2011,KUNDIKHOLA,,,MISSING,MISSING,,
SETTLEMENT_40868,Tugasi,5,57,284,40868,0,VILLAGE,Rural,44,44,230,116,114,230,271,41,17.82608695652174,2011,Census of India - Population Census 2011,TUGASI,30.4822562,79.5981038,OpenStreetMap Nominatim,MEDIUM,"Tugasi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Tugasi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40869,Raigari,5,57,284,40869,0,VILLAGE,Rural,24,24,97,48,49,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,RAIGARI,,,MISSING,MISSING,,
SETTLEMENT_40870,Karchi,5,57,284,40870,0,VILLAGE,Rural,68,68,328,158,170,328,386,58,17.682926829268293,2011,Census of India - Population Census 2011,KARCHI,30.4830375,79.6077382,OpenStreetMap Nominatim,MEDIUM,"Karchi, Joshimath Tehsil, Chamoli, Uttarakhand, India","Karchi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40871,Bilagar,5,57,284,40871,0,VILLAGE,Rural,26,26,97,46,51,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,BILAGAR,,,MISSING,MISSING,,
SETTLEMENT_40872,Chamtoli,5,57,284,40872,0,VILLAGE,Rural,25,25,122,77,45,122,144,22,18.0327868852459,2011,Census of India - Population Census 2011,CHAMTOLI,30.5001965,79.6167121,OpenStreetMap Nominatim,MEDIUM,"Chamtoli, Joshimath Tehsil, Chamoli, Uttarakhand, India","Chamtoli, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40873,Topovan,5,57,284,40873,0,VILLAGE,Rural,270,270,1064,605,459,1064,1254,190,17.857142857142858,2011,Census of India - Population Census 2011,TOPOVAN,,,MISSING,MISSING,,
SETTLEMENT_40874,Gahar,5,57,284,40874,0,VILLAGE,Rural,11,11,50,28,22,50,59,9,18.0,2011,Census of India - Population Census 2011,GAHAR,30.0111388,78.7947392,OpenStreetMap Nominatim,MEDIUM,"gahar, Pauri, Pauri Garhwal, Uttarakhand, 246167, India","Gahar, Uttarakhand, India"
SETTLEMENT_40875,Bhangyul,5,57,284,40875,0,VILLAGE,Rural,48,48,241,124,117,241,284,43,17.842323651452283,2011,Census of India - Population Census 2011,BHANGYUL,30.4956893,79.6321168,OpenStreetMap Nominatim,MEDIUM,"Bhangyul, Tapoban, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bhangyul, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40876,Karachhon,5,57,284,40876,0,VILLAGE,Rural,83,83,429,212,217,429,506,77,17.94871794871795,2011,Census of India - Population Census 2011,KARACHHON,,,MISSING,MISSING,,
SETTLEMENT_40877,Badal Gaitha,5,57,284,40877,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,BADAL GAITHA,,,MISSING,MISSING,,
SETTLEMENT_40878,Juwagwar,5,57,284,40878,0,VILLAGE,Rural,16,16,59,27,32,59,70,11,18.64406779661017,2011,Census of India - Population Census 2011,JUWAGWAR,30.4931218,79.6743167,OpenStreetMap Nominatim,MEDIUM,"Juwagwar, Subhain, Joshimath Tehsil, Chamoli, Uttarakhand, India","Juwagwar, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40879,Jugaju chak lata,5,57,284,40879,0,VILLAGE,Rural,10,10,36,18,18,36,42,6,16.666666666666664,2011,Census of India - Population Census 2011,JUGAJU CHAK LATA,,,MISSING,MISSING,,
SETTLEMENT_40880,Lata,5,57,284,40880,0,VILLAGE,Rural,84,84,305,145,160,305,359,54,17.704918032786885,2011,Census of India - Population Census 2011,LATA,30.49667,79.70719,OpenStreetMap Nominatim,MEDIUM,"Lata, Joshimath Tehsil, Chamoli, Uttarakhand, India","Lata, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40881,Raini Chak Lata,5,57,284,40881,0,VILLAGE,Rural,48,48,145,106,39,145,171,26,17.93103448275862,2011,Census of India - Population Census 2011,RAINI CHAK LATA,,,MISSING,MISSING,,
SETTLEMENT_40882,Pang Chak Lata,5,57,284,40882,0,VILLAGE,Rural,32,32,125,52,73,125,147,22,17.599999999999998,2011,Census of India - Population Census 2011,PANG CHAK LATA,,,MISSING,MISSING,,
SETTLEMENT_40883,Morana Chak Subhai,5,57,284,40883,0,VILLAGE,Rural,5,5,23,11,12,23,27,4,17.391304347826086,2011,Census of India - Population Census 2011,MORANA CHAK SUBHAI,,,MISSING,MISSING,,
SETTLEMENT_40884,Subhai,5,57,284,40884,0,VILLAGE,Rural,126,126,569,295,274,569,670,101,17.75043936731107,2011,Census of India - Population Census 2011,SUBHAI,,,MISSING,MISSING,,
SETTLEMENT_40885,Raini Chak Subhai,5,57,284,40885,0,VILLAGE,Rural,56,56,258,188,70,258,304,46,17.829457364341085,2011,Census of India - Population Census 2011,RAINI CHAK SUBHAI,,,MISSING,MISSING,,
SETTLEMENT_40886,Ringi,5,57,284,40886,0,VILLAGE,Rural,68,68,273,129,144,273,322,49,17.94871794871795,2011,Census of India - Population Census 2011,RINGI,30.4780383,79.618965,OpenStreetMap Nominatim,MEDIUM,"Ringi, Joshimath Tehsil, Chamoli, Uttarakhand, 246483, India","Ringi, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40887,Bampa,5,57,284,40887,0,VILLAGE,Rural,60,60,192,85,107,192,226,34,17.708333333333336,2011,Census of India - Population Census 2011,BAMPA,30.7436664,79.8297153,OpenStreetMap Nominatim,MEDIUM,"BAMPA, Pharkia, Joshimath Tehsil, Chamoli, Uttarakhand, India","Bampa, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40888,Gamsali,5,57,284,40888,0,VILLAGE,Rural,108,108,383,182,201,383,451,68,17.75456919060052,2011,Census of India - Population Census 2011,GAMSALI,30.7559986,79.8261873,OpenStreetMap Nominatim,MEDIUM,"Gamshali, Joshimath Tehsil, Chamoli, Uttarakhand, India","Gamsali, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40889,Niti,5,57,284,40889,0,VILLAGE,Rural,29,29,47,22,25,47,55,8,17.02127659574468,2011,Census of India - Population Census 2011,NITI,30.7776642,79.8411215,OpenStreetMap Nominatim,MEDIUM,"Niti, Joshimath Tehsil, Chamoli, Uttarakhand, India","Niti, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40890,Gurguti,5,57,284,40890,0,VILLAGE,Rural,101,101,250,147,103,250,295,45,18.0,2011,Census of India - Population Census 2011,GURGUTI,,,MISSING,MISSING,,
SETTLEMENT_40891,Mahargaon,5,57,284,40891,0,VILLAGE,Rural,43,43,269,139,130,269,317,48,17.843866171003718,2011,Census of India - Population Census 2011,MAHARGAON,30.4061118,79.4205814,OpenStreetMap Nominatim,MEDIUM,"Mahargaon, Chamoli Tehsil, Chamoli, Uttarakhand, India","Mahargaon, Chamoli, Uttarakhand, India"
SETTLEMENT_40892,Malari,5,57,284,40892,0,VILLAGE,Rural,1076,1076,1933,1427,506,1933,2278,345,17.847904811174338,2011,Census of India - Population Census 2011,MALARI,30.6845508,79.8893688,OpenStreetMap Nominatim,MEDIUM,"Malari, Joshimath Tehsil, Chamoli, Uttarakhand, India","Malari, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40893,Kailashpur,5,57,284,40893,0,VILLAGE,Rural,35,35,158,80,78,158,186,28,17.72151898734177,2011,Census of India - Population Census 2011,KAILASHPUR,,,MISSING,MISSING,,
SETTLEMENT_40894,Rewal Chak Kurkuti,5,57,284,40894,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,REWAL CHAK KURKUTI,,,MISSING,MISSING,,
SETTLEMENT_40895,Farkiagaon,5,57,284,40895,0,VILLAGE,Rural,41,41,197,108,89,197,232,35,17.766497461928935,2011,Census of India - Population Census 2011,FARKIAGAON,,,MISSING,MISSING,,
SETTLEMENT_40896,Kosa,5,57,284,40896,0,VILLAGE,Rural,71,71,302,153,149,302,356,54,17.880794701986755,2011,Census of India - Population Census 2011,KOSA,30.67793,79.8609495,OpenStreetMap Nominatim,MEDIUM,"Kosa, Joshimath Tehsil, Chamoli, Uttarakhand, India","Kosa, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40897,Jalam,5,57,284,40897,0,VILLAGE,Rural,81,81,224,120,104,224,264,40,17.857142857142858,2011,Census of India - Population Census 2011,JALAM,,,MISSING,MISSING,,
SETTLEMENT_40898,Jumma,5,57,284,40898,0,VILLAGE,Rural,62,62,78,63,15,78,92,14,17.94871794871795,2011,Census of India - Population Census 2011,JUMMA,30.60791,79.80606,OpenStreetMap Nominatim,MEDIUM,"Jumma, Joshimath Tehsil, Chamoli, Uttarakhand, India","Jumma, Joshimath, Chamoli, Uttarakhand, India"
SETTLEMENT_40899,Lamtoli,5,57,284,40899,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,LAMTOLI,,,MISSING,MISSING,,
SETTLEMENT_40900,Kaga Laga Dronagiri,5,57,284,40900,0,VILLAGE,Rural,26,26,97,47,50,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,KAGA LAGA DRONAGIRI,,,MISSING,MISSING,,
SETTLEMENT_40901,Garpak,5,57,284,40901,0,VILLAGE,Rural,11,11,66,40,26,66,78,12,18.181818181818183,2011,Census of India - Population Census 2011,GARPAK,30.6269079,79.854244,OpenStreetMap Nominatim,MEDIUM,"GARPAK, Joshimath Tehsil, Chamoli, Uttarakhand, India","Garpak, Joshimath, Chamoli, Uttarakhand, India"
