settlement_id,settlement_name,STATE,DISTRICT,SUBDISTT,TOWN/VILLAGE,WARD,LEVEL,settlement_type,NO_HH,households,TOT_P,TOT_M,TOT_F,population_2011,population,population_growth,population_growth_pct,POPULATION_YEAR,SOURCE,NAME_CLEAN
SETTLEMENT_40890,Gurguti,5,57,284,40890,0,VILLAGE,Rural,101,101,250,147,103,250,295,45,18.0,2011,Census of India - Population Census 2011,GURGUTI
SETTLEMENT_40891,Mahargaon,5,57,284,40891,0,VILLAGE,Rural,43,43,269,139,130,269,317,48,17.843866171003718,2011,Census of India - Population Census 2011,MAHARGAON
SETTLEMENT_40892,Malari,5,57,284,40892,0,VILLAGE,Rural,1076,1076,1933,1427,506,1933,2278,345,17.847904811174338,2011,Census of India - Population Census 2011,MALARI
SETTLEMENT_40893,Kailashpur,5,57,284,40893,0,VILLAGE,Rural,35,35,158,80,78,158,186,28,17.72151898734177,2011,Census of India - Population Census 2011,KAILASHPUR
SETTLEMENT_40894,Rewal Chak Kurkuti,5,57,284,40894,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,REWAL CHAK KURKUTI
SETTLEMENT_40895,Farkiagaon,5,57,284,40895,0,VILLAGE,Rural,41,41,197,108,89,197,232,35,17.766497461928935,2011,Census of India - Population Census 2011,FARKIAGAON
SETTLEMENT_40896,Kosa,5,57,284,40896,0,VILLAGE,Rural,71,71,302,153,149,302,356,54,17.880794701986755,2011,Census of India - Population Census 2011,KOSA
SETTLEMENT_40897,Jalam,5,57,284,40897,0,VILLAGE,Rural,81,81,224,120,104,224,264,40,17.857142857142858,2011,Census of India - Population Census 2011,JALAM
SETTLEMENT_40898,Jumma,5,57,284,40898,0,VILLAGE,Rural,62,62,78,63,15,78,92,14,17.94871794871795,2011,Census of India - Population Census 2011,JUMMA
SETTLEMENT_40899,Lamtoli,5,57,284,40899,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,LAMTOLI
SETTLEMENT_40900,Kaga Laga Dronagiri,5,57,284,40900,0,VILLAGE,Rural,26,26,97,47,50,97,114,17,17.525773195876287,2011,Census of India - Population Census 2011,KAGA LAGA DRONAGIRI
SETTLEMENT_40901,Garpak,5,57,284,40901,0,VILLAGE,Rural,11,11,66,40,26,66,78,12,18.181818181818183,2011,Census of India - Population Census 2011,GARPAK
SETTLEMENT_40902,Dronagiri,5,57,284,40902,0,VILLAGE,Rural,31,31,92,47,45,92,108,16,17.391304347826086,2011,Census of India - Population Census 2011,DRONAGIRI
SETTLEMENT_40903,F-1,5,57,284,40903,0,VILLAGE,Rural,2,2,2,2,0,2,2,0,0.0,2011,Census of India - Population Census 2011,F-1
SETTLEMENT_40904,Joshimath,5,57,284,40904,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,JOSHIMATH
SETTLEMENT_40905,Chamoli,5,57,284,40905,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,CHAMOLI
SETTLEMENT_40906,Joshimath,5,57,284,40906,0,VILLAGE,Rural,0,0,0,0,0,0,0,0,0.0,2011,Census of India - Population Census 2011,JOSHIMATH
SETTLEMENT_800290,Badrinathpuri (NP),5,57,284,800290,0,TOWN,Urban,850,850,2438,2054,384,2438,2873,435,17.842493847415913,2011,Census of India - Population Census 2011,BADRINATHPURI (NP)
SETTLEMENT_800291,Joshimath  (NPP),5,57,284,800291,0,TOWN,Urban,3898,3898,16709,9988,6721,16709,19689,2980,17.83469986234963,2011,Census of India - Population Census 2011,JOSHIMATH  (NPP)
