source_settlement_id,source_settlement,source_district,source_population,relocation_demand,site_id,site_name,site_village,site_district,allocated_people,site_capacity_before,site_capacity_after,safe_site_score,accessibility_score,infrastructure_score,distance_km,distance_score,relocation_score,allocation_status,unallocated_reason
SETTLEMENT_40832,Palla,57,435,435,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40845,Pakhi,57,430,430,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40844,Jalgwar,57,424,424,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40840,Gulabkoti,57,419,419,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40830,Kalgoth,57,418,418,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40819,Bheta Chak Urgam,57,408,408,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40870,Karchi,57,386,386,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40829,Dumak,57,366,366,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40880,Lata,57,359,359,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40843,Tangni malli,57,358,358,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40896,Kosa,57,356,356,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40826,Auli Laga Joshimath,57,352,352,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40814,Pulana Chak Bhyudar,57,336,336,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40886,Ringi,57,322,322,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40891,Mahargaon,57,317,317,,,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
