source_settlement_id,source_settlement,source_population_2026_est,destination_site_id,destination_site,destination_village,allocated_people,ai_score,ai_rank,distance_km,site_safe_score,site_accessibility,site_infrastructure,site_capacity_original,site_capacity_remaining_after,destination_latitude,destination_longitude,allocation_status,allocation_reason
SETTLEMENT_40808,Mana,1430,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40809,Khiron,106,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40810,Thaing,950,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40811,Arurhi Paturi,718,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40812,Bhyudar,72,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40813,Pandukaswar,1645,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40814,Pulana Chak Bhyudar,336,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40815,Toli Laga Chiae,53,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40816,Chaien,608,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40817,Urgam,1825,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40818,Bharkichak-Urgam,157,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40819,Bheta Chak Urgam,408,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40820,Lyari Thana,279,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40821,Salna Chak Urgam,151,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
SETTLEMENT_40822,Hailang,622,,,,0,,,,,,,0,0,,,UNALLOCATED,INSUFFICIENT_GEOGRAPHIC_CAPACITY
