site_id,site_name,site_cluster,village_name,urban_local_body_name,ward_name,block_name,district_name,matched_settlement_id,matched_address,latitude,longitude,coordinate_confidence,coordinate_match_method,school_category_code,school_type_code,total_classrooms,good_classrooms,minor_repair_classrooms,major_repair_classrooms,normal_classroom_capacity,temporary_capacity,available_capacity,building_score,road_score,water_score,electricity_score,land_score,boundary_wall_score,safety_score,accessibility_score,capacity_score,infrastructure_score,facility_suitability_score,safe_site_score,nearest_settlement_id,nearest_settlement_name,nearest_settlement_distance_km,site_status
9576433,Educational Facility,PIPALKOTI-Town Panchayat,,PIPALKOTI-Town Panchayat,Peepalkoti (NP)- Naurakh Peepalkoti Ward No.1,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,2,3,8,8,0,0,200,100.0,100,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,24.242,90.0,81.061,71.98,,,,HIGH_SUITABILITY
3133689,Educational Facility,POKHRI-Town Panchayat,,POKHRI-Town Panchayat,Pokhri (NP) -Guniyala Ward No. 4,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,6,3,13,13,0,0,325,162.5,162,100.0,0.0,100.0,100.0,100.0,100.0,100.0,40.0,39.394,100.0,69.848,60.79,,,,MEDIUM_SUITABILITY
1391137,Educational Facility,Joshimath-Municipality,,Joshimath-Municipality,Joshimath (MB) - Painka-Maarwaadi Ward No.2,,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,3,3,17,17,0,0,425,212.5,212,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,51.515,85.0,87.879,80.78,,,,HIGH_SUITABILITY
4857405,Educational Facility,Ringi,Ringi,,,Joshimath,CHAMOLI,SETTLEMENT_40886,Ringi,30.4780383,79.618965,MEDIUM,VILLAGE_NAME,1,3,2,2,0,0,50,25.0,25,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,61.515,45.37,SETTLEMENT_40886,Ringi,0.0,LOW_SUITABILITY
8057750,Educational Facility,Harani Chak Mundoli,Harani Chak Mundoli,,,Dewal,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,76.515,65.62,,,,MEDIUM_SUITABILITY
4389030,Educational Facility,Nijmola,Nijmola,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,3,2,0,1,50,25.0,25,66.667,0.0,100.0,100.0,0.0,0.0,100.0,40.0,6.061,75.0,51.515,41.37,,,,LOW_SUITABILITY
3600118,Educational Facility,Kumartoli,Kumartoli,,,Ghat,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,7,7,0,0,175,87.5,88,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,21.212,85.0,80.303,70.17,,,,HIGH_SUITABILITY
3907543,Educational Facility,Dhungakholi,Dhungakholi,,,Tharali,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,66.667,100.0,6.061,85.0,73.182,63.54,,,,MEDIUM_SUITABILITY
7315174,Educational Facility,Kandara,Kandara,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,6.061,85.0,76.515,64.87,,,,MEDIUM_SUITABILITY
8873227,Educational Facility,Tugasi,Tugasi,,,Joshimath,CHAMOLI,SETTLEMENT_40868,Tugasi,30.4822562,79.5981038,MEDIUM,VILLAGE_NAME,1,3,2,2,0,0,50,25.0,25,100.0,100.0,100.0,100.0,100.0,0.0,66.667,100.0,6.061,85.0,73.182,63.54,SETTLEMENT_40868,Tugasi,0.0,MEDIUM_SUITABILITY
5670829,Educational Facility,Nail,Nail,,,Pokhari,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,4,3,3,3,0,0,75,37.5,38,100.0,0.0,100.0,100.0,0.0,0.0,100.0,40.0,9.091,75.0,62.273,46.43,,,,LOW_SUITABILITY
2555804,Educational Facility,Kushrani Talli,Kushrani Talli,,,Gairsain,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,7,6,0,1,150,75.0,75,85.714,0.0,100.0,100.0,100.0,0.0,100.0,40.0,18.182,90.0,60.26,50.15,,,,MEDIUM_SUITABILITY
6235394,Educational Facility,Gadseer,Gadseer,,,Narayanbagar,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,4,3,3,2,0,1,50,25.0,25,66.667,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.061,90.0,66.515,61.62,,,,MEDIUM_SUITABILITY
7705468,Educational Facility,Kakhda,Kakhda,,,Tharali,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,5,5,0,0,125,62.5,62,100.0,100.0,100.0,100.0,100.0,0.0,66.667,100.0,15.152,85.0,75.455,66.72,,,,MEDIUM_SUITABILITY
7863935,Educational Facility,Pudiyani,Pudiyani,,,Karnaprayag,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,7,3,6,6,0,0,150,75.0,75,100.0,0.0,100.0,100.0,100.0,0.0,100.0,40.0,18.182,90.0,64.545,51.86,,,,MEDIUM_SUITABILITY
9242415,Educational Facility,Nagartangsa,Nagartangsa,,,Dasholi,CHAMOLI,,,,,UNRESOLVED,UNRESOLVED,5,3,8,4,0,4,100,50.0,50,50.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,12.121,90.0,63.03,61.74,,,,MEDIUM_SUITABILITY
